year,island,year island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,96,8.48,3.72,,10.43,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.102,0.5
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,97,5.76,2.68,,NA,,0,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.035,0.68
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,98,6.8,3.02,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.056,0.63
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,99,7.3,3.59,,NA,,1,,0,,,,,,,,0,,,,,,,,,,,0.056,0.95
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,100,7.13,3.02,,NA,,0,,1,,1,1,1,0,0,0,0,,,,,,,,,,,0.033,0.78
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,1,5.4,3.4,,12.12,,0,,0,,,,,,,,0,,,,,,,,,,,0.053,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,2,4.44,2.54,,8.63,,1,,0,,,,,,,,0,,,,,,,,,,,0.029,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,3,6.01,3.21,,10.95,,0,,0,,,,,,,,0,,,,,,,,,,,0.074,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,4,5.13,3.18,,9.71,,1,,0,,,,,,,,0,,,,,,,,,,,0.062,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,5,4.29,2.68,,8.82,,1,,0,,,,,,,,0,,,,,,,,,,,0.032,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,6,5.01,3.33,,10.42,,1,,0,,,,,,,,0,,,,,,,,,,,0.066,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,7,4.5,2.53,,6.76,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.04,0.81
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,8,3.3,2.63,,7.88,,1,,0,,,,,,,,0,,,,,,,,,,,0.017,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,9,5.04,2.61,,7.99,,0,,0,,,,,,,,0,,,,,,,,,,,0.036,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,10,4.74,2.97,,NA,,0,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.033,0.74
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,11,3.84,3.1,,9.66,,1,,0,,,,,,,,0,,,,,,,,,,,0.034,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,12,4.9,2.69,,10.22,,0,,0,,,,,,,,0,,,,,,,,,,,0.048,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,13,4.56,2.7,,NA,,0,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.03,0.72
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,14,3.32,2.76,,8.79,,1,,0,,,,,,,,0,,,,,,,,,,,0.027,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,15,4.85,3.16,,9.07,,1,,0,,,,,,,,0,,,,,,,,,,,0.05,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,16,5.17,3.59,,10.95,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.052,1.23
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,17,4.82,2.77,,7.68,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.032,0.88
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,18,3.78,2.43,,8.18,,1,,0,,,,,,,,0,,,,,,,,,,,0.029,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,19,4.02,2.56,,6.69,,1,,0,,,,,,,,0,,,,,,,,,,,0.024,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,20,4.78,3.06,,9.49,,0,,0,,,,,,,,0,,,,,,,,,,,0.052,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,21,4.24,2.79,,9.07,,1,,0,,,,,,,,0,,,,,,,,,,,0.036,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,22,4.28,2.66,,11.79,,1,,0,,,,,,,,0,,,,,,,,,,,0.032,NA
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,23,5.65,3.48,,10.29,,0,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.062,1.44
2015,Isabela,2015_Isabela,AP,2015_Isabela_AP,4,24,3.88,2.73,,6.91,,1,,0,,,,,,,,0,,,,,,,,,,,0.029,NA
